@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
2.162831,2.355671,1.655329,1.079507,1
2.510558,2.398858,1.623247,1.181615,1
2.543945,2.443070,1.579554,1.176217,1
2.281498,2.324062,1.616686,1.069917,1
2.483313,2.279354,1.547187,1.182339,1
2.492072,2.278251,1.609811,1.165299,1
2.261268,2.420460,1.611617,1.166399,1
2.364282,2.448319,1.552803,1.060982,1
2.551737,2.360642,1.599634,1.083683,1
2.485598,2.500450,1.709426,1.258293,1
2.633206,2.490834,1.645368,1.094005,1
2.531196,2.445859,1.652719,1.158794,1
2.150486,2.251481,1.624224,1.154689,1
2.188809,2.046997,1.623950,1.197023,1
1.966992,2.080876,1.484346,1.239523,1
2.289046,2.444346,1.535960,1.131796,1
2.362326,2.379751,1.564039,1.143697,1
2.380690,2.452504,1.637560,1.221738,1
2.402052,2.416390,1.562992,1.131130,1
2.574067,2.212492,1.554167,1.109831,1
2.580724,2.261234,1.740666,1.135239,1
2.352731,2.146590,1.662048,1.214232,1
2.356648,2.421946,1.819484,1.389629,2
2.231664,2.346588,1.844500,1.452807,2
1.969042,2.221628,1.763826,1.486700,2
2.476488,2.605083,1.727928,1.314017,2
2.552800,2.536494,1.724280,1.164369,2
2.379529,2.366246,1.565091,1.316378,2
2.274709,2.061979,1.585439,1.222647,2
2.428867,2.262984,1.623303,1.079927,2
2.485312,2.429613,1.590093,1.038485,2
2.346436,2.334018,1.649031,1.337509,2
2.207443,2.200200,1.708847,1.286439,2
1.903122,2.279264,1.667228,1.319618,2
2.378153,2.057750,1.701526,1.110889,2
1.982103,2.270765,1.588808,1.267852,2
1.921160,2.858459,1.635781,1.221481,2
2.170264,2.787325,1.681878,1.229269,2
2.289675,2.322503,1.618649,1.337680,2
2.421684,2.472602,1.611615,1.344078,2
2.110035,2.421438,1.575596,1.186451,2
2.112063,2.267864,1.515111,1.250499,2
2.105708,2.073887,1.548425,1.140834,2
2.474229,2.394531,1.663844,1.240421,2
2.325669,2.510328,1.681302,1.345057,2
2.125144,2.553401,1.586937,1.414288,2
2.164702,2.445322,1.588486,1.334067,2
2.461090,2.554788,1.651913,1.196775,2
2.189303,2.218656,1.624438,1.245657,2
2.386070,2.453773,1.693466,1.427239,2
2.626012,2.304557,1.641512,1.278281,2
2.785148,2.668768,1.765325,1.224991,2
2.730042,2.649253,1.728821,1.259676,2
2.623183,2.383255,1.700980,1.253700,2
2.233215,2.325366,1.499931,1.247071,2
2.117464,2.247951,1.492485,1.276004,2
2.145808,2.271465,1.473265,1.170971,2
2.500793,2.403717,1.566486,1.212989,2
2.529886,2.504331,1.671638,1.378875,2
2.286261,2.416964,1.635987,1.326735,2
2.406763,2.339765,1.651004,1.143046,2
2.079014,2.429050,1.631317,1.117882,2
2.451124,2.573626,1.684597,1.270601,2
2.667427,2.346832,1.576076,1.334974,2
2.448910,2.233999,1.610661,1.256198,2
2.126497,2.377380,1.665796,1.293208,2
2.062825,2.400407,1.611578,1.277756,2
2.305928,2.404224,1.685948,1.330915,2
2.461630,2.360749,1.699157,1.320845,2
2.393803,2.373994,1.583261,1.292921,2
2.429763,2.394464,1.640980,1.315366,2
2.451100,2.478729,1.705937,1.260954,2
2.405988,2.561898,1.630443,1.289362,2
2.313519,2.448592,1.618910,1.182212,2
2.133809,2.345867,1.651746,1.204248,2
2.260608,2.441561,1.578601,1.319924,2
2.301028,2.316102,1.563017,1.141110,2
2.105467,2.360608,1.578940,1.277601,2
2.201640,2.488993,1.746126,1.158889,2
2.033020,2.348639,1.646378,1.169081,2
2.073549,2.318885,1.628096,1.265185,2
2.280506,2.272627,1.599259,1.297431,2
2.325240,2.152424,1.583694,1.229598,2
2.268121,2.348243,1.563301,0.990985,2
2.430788,2.317981,1.703399,1.142983,2
2.117202,2.417529,1.728274,1.282431,2
2.162265,2.511755,1.680514,1.270388,2
2.172574,2.333021,1.690788,1.290252,2
2.238640,2.212853,1.689426,1.309296,2
2.280035,2.091528,1.564804,1.332327,2
2.182635,2.158267,1.451743,1.251987,2
2.398361,2.063848,1.488425,1.408013,2
2.504815,2.413411,1.565225,1.124899,2
2.463202,2.506812,1.783706,1.252266,2
2.395985,2.743994,1.738624,1.254481,2
2.099434,2.416849,1.609563,1.146372,2
2.194676,2.349902,1.633302,1.200412,2
2.370682,2.578085,1.828942,1.458360,1
2.093132,2.350778,1.776969,1.287988,1
2.232626,2.537803,1.653482,1.360835,1
2.280445,2.339287,1.740261,1.340005,1
2.253411,2.202065,1.648885,1.112832,1
2.120668,2.430174,1.635689,1.101682,1
2.566229,2.467345,1.622167,1.033798,1
2.546835,2.549049,1.642620,1.324008,1
2.428924,2.599405,1.634811,1.244481,1
2.341331,2.399922,1.668543,1.138036,1
2.331900,2.232213,1.658708,1.198459,1
2.159685,2.619641,1.880253,1.300546,1
2.470352,2.737508,1.796952,1.340061,1
2.416960,2.399731,1.661581,1.271378,1
2.303653,2.325827,1.691719,1.132028,1
2.185021,2.468791,1.660277,1.137694,1
2.376977,2.340192,1.718684,1.345884,1
2.390126,2.396106,1.723001,1.271834,1
